model,origin,target,horizon,variable,lpl,crps
GP-VAR-8 homoskedastic,2013-12-31,2014-12-31,4,RGDP,-1.2661324786575132,0.7152695250637815
GP-VAR-8 homoskedastic,2013-12-31,2014-12-31,4,CPI,-1.7576872725146213,1.1980042402160787
GP-VAR-8 homoskedastic,2013-12-31,2014-12-31,4,FFR,-1.7426316402702757,1.3137197362504018
GP-VAR-8 homoskedastic,2014-12-31,2015-03-31,1,joint,-5.719221166152751,
GP-VAR-8 homoskedastic,2014-12-31,2015-03-31,1,RGDP,-1.582729982790213,0.90709096829404
GP-VAR-8 homoskedastic,2014-12-31,2015-03-31,1,CPI,-2.927696503737015,1.492343489000749
GP-VAR-8 homoskedastic,2014-12-31,2015-03-31,1,FFR,-1.0477133799591443,0.5991698222250711
GP-VAR-8 homoskedastic,2014-12-31,2015-12-31,4,joint,-5.257302491087186,
GP-VAR-8 homoskedastic,2014-12-31,2015-12-31,4,RGDP,-1.2473512156134996,0.6966814567656885
GP-VAR-8 homoskedastic,2014-12-31,2015-12-31,4,CPI,-2.614889284187042,1.7212554896571859
GP-VAR-8 homoskedastic,2014-12-31,2015-12-31,4,FFR,-1.6484385096972762,1.1709370310518725
GP-VAR-8 homoskedastic,2015-12-31,2016-03-31,1,joint,-2.7318400134768988,
GP-VAR-8 homoskedastic,2015-12-31,2016-03-31,1,RGDP,-0.7551795365445778,0.43865687401206827
GP-VAR-8 homoskedastic,2015-12-31,2016-03-31,1,CPI,-0.9962868621501136,0.6047744382579958
GP-VAR-8 homoskedastic,2015-12-31,2016-03-31,1,FFR,-1.0121622625161197,0.5592029393628403
GP-VAR-8 homoskedastic,2015-12-31,2016-12-31,4,joint,-3.843253093133189,
GP-VAR-8 homoskedastic,2015-12-31,2016-12-31,4,RGDP,-1.3214019717406709,0.7302404922506847
GP-VAR-8 homoskedastic,2015-12-31,2016-12-31,4,CPI,-1.1101295694721167,0.6268845852779233
GP-VAR-8 homoskedastic,2015-12-31,2016-12-31,4,FFR,-1.5370162885753187,0.9296176561898601
GP-VAR-8 homoskedastic,2016-12-31,2017-03-31,1,joint,-3.0977744619791787,
GP-VAR-8 homoskedastic,2016-12-31,2017-03-31,1,RGDP,-0.7806543709342146,0.46617090897145463
GP-VAR-8 homoskedastic,2016-12-31,2017-03-31,1,CPI,-1.365869623385898,0.7791865149608781
GP-VAR-8 homoskedastic,2016-12-31,2017-03-31,1,FFR,-0.9893511810934864,0.5485246593616928
GP-VAR-8 homoskedastic,2016-12-31,2017-12-31,4,joint,-3.82117170704106,
GP-VAR-8 homoskedastic,2016-12-31,2017-12-31,4,RGDP,-1.2478993699183416,0.6844975918912461
GP-VAR-8 homoskedastic,2016-12-31,2017-12-31,4,CPI,-1.2481713415243036,0.7057610423202327
GP-VAR-8 homoskedastic,2016-12-31,2017-12-31,4,FFR,-1.520337347798546,0.9063197872834782
GP-VAR-8 homoskedastic,2017-12-31,2018-03-31,1,joint,-2.450687336950618,
GP-VAR-8 homoskedastic,2017-12-31,2018-03-31,1,RGDP,-0.820933417573221,0.4939554656708014
GP-VAR-8 homoskedastic,2017-12-31,2018-03-31,1,CPI,-0.8702508396795714,0.5135169462027729
GP-VAR-8 homoskedastic,2017-12-31,2018-03-31,1,FFR,-0.9145868192280476,0.5167215630177373
GP-VAR-8 homoskedastic,2017-12-31,2018-12-31,4,joint,-3.994465210982899,
GP-VAR-8 homoskedastic,2017-12-31,2018-12-31,4,RGDP,-1.3138332868320484,0.8013301527402852
GP-VAR-8 homoskedastic,2017-12-31,2018-12-31,4,CPI,-1.1625059392317967,0.6440482348141626
GP-VAR-8 homoskedastic,2017-12-31,2018-12-31,4,FFR,-1.5749648052142255,0.9634830504481464
GP-VAR-8 homoskedastic,2018-12-31,2019-03-31,1,joint,-2.541618473219334,
GP-VAR-8 homoskedastic,2018-12-31,2019-03-31,1,RGDP,-0.7438290645379473,0.44646335959325506
GP-VAR-8 homoskedastic,2018-12-31,2019-03-31,1,CPI,-0.6860187912199143,0.4214063284368157
GP-VAR-8 homoskedastic,2018-12-31,2019-03-31,1,FFR,-1.0510714931325518,0.6064812920668927
GP-VAR-8 homoskedastic,2018-12-31,2019-12-31,4,joint,-4.008837203972953,
GP-VAR-8 homoskedastic,2018-12-31,2019-12-31,4,RGDP,-1.4873556885133183,0.9286222506222594
GP-VAR-8 homoskedastic,2018-12-31,2019-12-31,4,CPI,-1.1380198069647214,0.6197745148093368
GP-VAR-8 homoskedastic,2018-12-31,2019-12-31,4,FFR,-1.477980351779478,0.8729440670344107
BVAR-8,2007-12-31,2008-03-31,1,joint,-3.202989597560517,
BVAR-8,2007-12-31,2008-03-31,1,RGDP,-0.8806900501794492,0.5058426187522234
BVAR-8,2007-12-31,2008-03-31,1,CPI,-0.59414291885304,0.3929686671079045
BVAR-8,2007-12-31,2008-03-31,1,FFR,-1.6422821935222767,1.0373955319138684
BVAR-8,2007-12-31,2008-12-31,4,joint,-8.463625683445724,
BVAR-8,2007-12-31,2008-12-31,4,RGDP,-4.688133159447774,3.6851960012561764
BVAR-8,2007-12-31,2008-12-31,4,CPI,-1.9791971893827442,1.4493146301374122
BVAR-8,2007-12-31,2008-12-31,4,FFR,-3.7912176283948975,3.4564719761828675
BVAR-8,2008-12-31,2009-03-31,1,joint,-4.022407933897162,
BVAR-8,2008-12-31,2009-03-31,1,RGDP,-1.31542079617534,0.8142718735483638
BVAR-8,2008-12-31,2009-03-31,1,CPI,-1.051047075242926,0.6340666036696851
BVAR-8,2008-12-31,2009-03-31,1,FFR,-1.699709846097502,1.171282326205628
BVAR-8,2008-12-31,2009-12-31,4,joint,-8.265714762389093,
BVAR-8,2008-12-31,2009-12-31,4,RGDP,-3.139619494177599,3.7912932381540845
BVAR-8,2008-12-31,2009-12-31,4,CPI,-3.292057683525447,3.7852571489306106
BVAR-8,2008-12-31,2009-12-31,4,FFR,-3.2626699441782994,4.343921922811118
BVAR-8,2009-12-31,2010-03-31,1,joint,-3.1086225388165687,
BVAR-8,2009-12-31,2010-03-31,1,RGDP,-1.1220882333443614,0.6606165138135114
BVAR-8,2009-12-31,2010-03-31,1,CPI,-0.9269752215045173,0.5509839171029265
BVAR-8,2009-12-31,2010-03-31,1,FFR,-1.2918608539464844,0.801130103462157
BVAR-8,2009-12-31,2010-12-31,4,joint,-5.213740493896863,
BVAR-8,2009-12-31,2010-12-31,4,RGDP,-1.9758669476396273,1.5698060446129132
BVAR-8,2009-12-31,2010-12-31,4,CPI,-1.6426647830197232,1.0679314521515328
BVAR-8,2009-12-31,2010-12-31,4,FFR,-2.0127052059767427,1.6421284017585251
BVAR-8,2010-12-31,2011-03-31,1,joint,-4.193089711195267,
BVAR-8,2010-12-31,2011-03-31,1,RGDP,-1.5178419241427266,0.9268963789346598
BVAR-8,2010-12-31,2011-03-31,1,CPI,-1.5879630526054085,0.8762794545960187
BVAR-8,2010-12-31,2011-03-31,1,FFR,-1.0668162860890051,0.6220184365508379
BVAR-8,2010-12-31,2011-12-31,4,joint,-6.078822624923132,
BVAR-8,2010-12-31,2011-12-31,4,RGDP,-1.9863261591778283,1.540262512585731
BVAR-8,2010-12-31,2011-12-31,4,CPI,-2.0425363473605054,1.5669552462679845
BVAR-8,2010-12-31,2011-12-31,4,FFR,-1.8189226335645854,1.3487595748326695
BVAR-8,2011-12-31,2012-03-31,1,joint,-3.4697340074812373,
BVAR-8,2011-12-31,2012-03-31,1,RGDP,-1.4607232869313143,0.8863289232771419
BVAR-8,2011-12-31,2012-03-31,1,CPI,-0.8169547507618138,0.4940723338287206
BVAR-8,2011-12-31,2012-03-31,1,FFR,-1.0504131056824921,0.6092550785672987
BVAR-8,2011-12-31,2012-12-31,4,joint,-4.435270214152375,
BVAR-8,2011-12-31,2012-12-31,4,RGDP,-1.4965798834988138,0.9346245128131417
BVAR-8,2011-12-31,2012-12-31,4,CPI,-1.586785157158031,1.0838040439491015
BVAR-8,2011-12-31,2012-12-31,4,FFR,-1.7731336992074178,1.2880053851294146
BVAR-8,2012-12-31,2013-03-31,1,joint,-2.2644760771387498,
BVAR-8,2012-12-31,2013-03-31,1,RGDP,-0.814171012453612,0.4670861952275771
BVAR-8,2012-12-31,2013-03-31,1,CPI,-0.5991107976512551,0.37313648675623884
BVAR-8,2012-12-31,2013-03-31,1,FFR,-0.9521690226564228,0.5385396876313793
BVAR-8,2012-12-31,2013-12-31,4,joint,-4.418508595407832,
BVAR-8,2012-12-31,2013-12-31,4,RGDP,-1.5007080896932288,0.935550424829665
BVAR-8,2012-12-31,2013-12-31,4,CPI,-1.4721801991471934,0.9428258033558715
BVAR-8,2012-12-31,2013-12-31,4,FFR,-1.7262775667920724,1.2161343642283633
BVAR-8,2013-12-31,2014-03-31,1,joint,-3.8153184147682917,
BVAR-8,2013-12-31,2014-03-31,1,RGDP,-2.287740081131462,1.2897230732346565
BVAR-8,2013-12-31,2014-03-31,1,CPI,-0.636549282428929,0.4040499148066684
BVAR-8,2013-12-31,2014-03-31,1,FFR,-0.8874278004796216,0.4993737561987334
BVAR-8,2013-12-31,2014-12-31,4,joint,-4.0965494319114315,
BVAR-8,2013-12-31,2014-12-31,4,RGDP,-1.437443544869064,0.8687908486708944
BVAR-8,2013-12-31,2014-12-31,4,CPI,-1.3392033283454046,0.7815120147898528
BVAR-8,2013-12-31,2014-12-31,4,FFR,-1.5874956293017544,1.0088790821182163
BVAR-8,2014-12-31,2015-03-31,1,joint,-4.793829943803736,
BVAR-8,2014-12-31,2015-03-31,1,RGDP,-1.8687951550109674,1.0912045462459161
BVAR-8,2014-12-31,2015-03-31,1,CPI,-1.8973585360379879,0.9874467254966839
BVAR-8,2014-12-31,2015-03-31,1,FFR,-0.9298887563004303,0.5324694820556641
BVAR-8,2014-12-31,2015-12-31,4,joint,-4.245286702369834,
BVAR-8,2014-12-31,2015-12-31,4,RGDP,-1.4648451433265286,0.9044510934856962
BVAR-8,2014-12-31,2015-12-31,4,CPI,-1.4288487277847226,0.9064356627378398
BVAR-8,2014-12-31,2015-12-31,4,FFR,-1.6378143864600223,1.0960124216276397
BVAR-8,2015-12-31,2016-03-31,1,joint,-2.2056889959949846,
BVAR-8,2015-12-31,2016-03-31,1,RGDP,-0.8366481658271445,0.48545968662373273
BVAR-8,2015-12-31,2016-03-31,1,CPI,-0.5891913237713118,0.3776639629552785
BVAR-8,2015-12-31,2016-03-31,1,FFR,-0.8610925862429295,0.48619954623615436
BVAR-8,2015-12-31,2016-12-31,4,joint,-4.108871513579722,
BVAR-8,2015-12-31,2016-12-31,4,RGDP,-1.46299219502634,0.9146484889744679
BVAR-8,2015-12-31,2016-12-31,4,CPI,-1.3379092371224375,0.7880134706753453
BVAR-8,2015-12-31,2016-12-31,4,FFR,-1.523902893773708,0.939912869894877
BVAR-8,2016-12-31,2017-03-31,1,joint,-2.3990027914934915,
BVAR-8,2016-12-31,2017-03-31,1,RGDP,-0.7575712520082972,0.43753102365555774
BVAR-8,2016-12-31,2017-03-31,1,CPI,-0.8678422400957717,0.5225075608870262
BVAR-8,2016-12-31,2017-03-31,1,FFR,-0.859110916535321,0.49009266923135525
BVAR-8,2016-12-31,2017-12-31,4,joint,-4.291326590518169,
BVAR-8,2016-12-31,2017-12-31,4,RGDP,-1.7434693584716578,1.2458499624552446
BVAR-8,2016-12-31,2017-12-31,4,CPI,-1.3021071838892482,0.7478206225663618
BVAR-8,2016-12-31,2017-12-31,4,FFR,-1.5518154115363716,0.9810975791568594
BVAR-8,2017-12-31,2018-03-31,1,joint,-2.22965156169984,
BVAR-8,2017-12-31,2018-03-31,1,RGDP,-0.9264691853617839,0.5539045930870381
BVAR-8,2017-12-31,2018-03-31,1,CPI,-0.5498127362379608,0.36489970467823485
BVAR-8,2017-12-31,2018-03-31,1,FFR,-0.8227691466334159,0.46757648981623945
BVAR-8,2017-12-31,2018-12-31,4,joint,-3.9299818596372793,
BVAR-8,2017-12-31,2018-12-31,4,RGDP,-1.368026756444629,0.8094839536757314
BVAR-8,2017-12-31,2018-12-31,4,CPI,-1.2876431506620758,0.7409752730312109
BVAR-8,2017-12-31,2018-12-31,4,FFR,-1.559155565929124,1.0006356969927879
BVAR-8,2018-12-31,2019-03-31,1,joint,-2.4737807675664727,
BVAR-8,2018-12-31,2019-03-31,1,RGDP,-0.7239993173194545,0.42131653880362174
BVAR-8,2018-12-31,2019-03-31,1,CPI,-0.8396442445871393,0.5095869454823214
BVAR-8,2018-12-31,2019-03-31,1,FFR,-0.894196797019249,0.519910522776202
BVAR-8,2018-12-31,2019-12-31,4,joint,-5.111759843067872,
BVAR-8,2018-12-31,2019-12-31,4,RGDP,-2.362372924688129,1.8620455957185298
BVAR-8,2018-12-31,2019-12-31,4,CPI,-1.2939776815550506,0.7397745369168219
BVAR-8,2018-12-31,2019-12-31,4,FFR,-1.4951830177131198,0.9113472186314882
